Survived,Age,Parch,Fare
1,38.0,0,71.2833
1,35.0,0,53.1
0,54.0,0,51.8625
1,4.0,1,16.7
1,58.0,0,26.55
1,34.0,0,13.0
1,28.0,0,35.5
0,19.0,2,263.0
1,49.0,0,76.7292
0,65.0,1,61.9792
0,45.0,0,83.475
1,29.0,0,10.5
0,25.0,0,7.65
1,23.0,2,263.0
0,46.0,0,61.175
0,71.0,0,34.6542
1,23.0,1,63.3583
0,21.0,1,77.2875
0,47.0,0,52.0
0,24.0,1,247.5208
1,32.5,0,13.0
0,54.0,1,77.2875
1,19.0,2,26.2833
0,37.0,0,53.1
0,24.0,0,79.2
0,36.5,2,26.0
1,22.0,0,66.6
0,61.0,0,33.5
0,56.0,0,30.6958
0,50.0,0,28.7125
1,1.0,1,39.0
1,3.0,1,26.0
1,44.0,0,27.7208
1,58.0,0,146.5208
0,2.0,1,10.4625
1,40.0,0,31.0
1,31.0,0,113.275
1,32.0,0,76.2917
1,38.0,0,90.0
1,35.0,0,83.475
0,44.0,0,90.0
1,37.0,1,52.5542
0,29.0,1,10.4625
0,62.0,0,26.55
1,30.0,0,86.5
0,52.0,1,79.65
0,40.0,0,0.0
1,58.0,1,153.4625
1,35.0,0,135.6333
0,37.0,1,29.7
1,63.0,0,77.9583
1,19.0,0,91.0792
0,36.0,0,12.875
0,2.0,2,151.55
1,50.0,1,247.5208
1,0.92,2,151.55
1,17.0,0,108.9
1,30.0,0,56.9292
1,24.0,0,83.1583
1,18.0,2,262.375
1,31.0,2,164.8667
1,40.0,1,134.5
1,36.0,0,135.6333
1,36.0,0,13.0
1,16.0,1,57.9792
0,45.5,0,28.5
0,38.0,1,153.4625
0,29.0,0,66.6
1,41.0,0,134.5
0,45.0,0,35.5
1,2.0,1,26.0
1,24.0,2,263.0
1,24.0,0,13.0
1,22.0,1,55.0
1,60.0,0,75.25
1,24.0,0,69.3
1,25.0,0,55.4417
0,27.0,2,211.5
1,36.0,2,120.0
1,23.0,0,113.275
1,24.0,2,16.7
1,33.0,0,90.0
1,32.0,0,8.05
1,28.0,0,26.55
0,50.0,0,55.9
1,14.0,2,120.0
0,64.0,4,263.0
1,4.0,2,81.8583
1,52.0,0,30.5
0,30.0,0,27.75
1,49.0,0,89.1042
0,65.0,0,26.55
1,48.0,0,26.55
0,47.0,0,38.5
1,23.0,0,13.7917
1,25.0,0,91.0792
1,35.0,0,90.0
0,58.0,0,29.7
0,55.0,0,30.5
1,54.0,0,78.2667
0,25.0,2,151.55
1,16.0,0,86.5
0,18.0,0,108.9
1,36.0,0,26.2875
0,47.0,0,34.0208
1,34.0,0,10.5
1,30.0,0,93.5
1,44.0,1,57.9792
0,45.0,0,26.55
1,22.0,2,49.5
1,36.0,2,71.0
0,50.0,0,106.425
1,17.0,2,110.8833
1,48.0,0,39.6
1,39.0,1,79.65
1,53.0,0,51.4792
1,36.0,0,26.3875
1,39.0,0,55.9
1,39.0,1,110.8833
0,36.0,0,40.125
1,18.0,2,79.65
1,60.0,1,79.2
1,52.0,0,78.2667
1,49.0,0,56.9292
1,40.0,0,153.4625
1,4.0,1,39.0
1,42.0,0,52.5542
0,61.0,0,32.3208
1,21.0,0,77.9583
1,80.0,0,30.0
1,32.0,0,30.5
1,24.0,0,69.3
1,48.0,0,76.7292
1,56.0,0,35.5
0,58.0,2,113.275
0,47.0,0,25.5875
0,31.0,0,52.0
1,36.0,1,512.3292
1,27.0,0,76.7292
1,15.0,1,211.3375
1,31.0,0,57.0
0,49.0,1,110.8833
0,42.0,0,7.65
1,18.0,0,227.525
1,35.0,0,26.2875
1,42.0,0,26.2875
1,24.0,0,49.5042
1,48.0,0,52.0
0,19.0,0,7.65
1,38.0,0,227.525
1,27.0,0,10.5
1,27.0,0,53.1
1,29.0,0,211.3375
1,35.0,0,512.3292
0,36.0,0,78.85
1,21.0,2,262.375
0,70.0,1,71.0
0,19.0,0,53.1
1,6.0,1,12.475
1,33.0,0,86.5
1,36.0,2,120.0
1,51.0,0,77.9583
0,57.0,0,10.5
1,43.0,1,211.3375
1,17.0,0,57.0
0,29.0,0,30.0
0,46.0,0,79.2
1,49.0,0,25.9292
1,11.0,2,120.0
0,39.0,0,0.0
1,33.0,0,53.1
1,52.0,1,93.5
1,27.0,1,12.475
1,39.0,1,83.1583
1,16.0,1,39.4
1,51.0,0,26.55
1,48.0,0,25.9292
0,31.0,0,50.4958
1,47.0,1,52.5542
0,33.0,0,5.0
1,56.0,1,83.1583
1,19.0,0,30.0
1,26.0,0,30.0
